,Food Code,Food Name,Group,Super Group,Sale format(s)
19,14-870,"Almonds, flaked and ground",GA,Nuts and seeds,packet
20,14-897,"Almonds, toasted",GA,Nuts and seeds,packet
21,14-896,"Almonds, whole kernels",GA,Nuts and seeds,packet
105,14-895,"Breadnut seeds, dried",G,Nuts and seeds,packet
106,14-806,Betel nuts,GA,Nuts and seeds,packet
187,14-813,"Chestnuts, kernel only, raw",GA,Nuts and seeds,packet
188,14-889,"Coconut milk, retail",GA,Nuts and seeds,carton/tetrapak
308,14-874,"Hazelnuts, kernel only",GA,Nuts and seeds,packet
382,14-891,"Macadamia nuts, salted",G,Nuts and seeds,packet
383,14-875,"Marzipan, white and yellow, retail",GA,Nuts and seeds,packet
404,14-880,"Nuts, mixed",GA,Nuts and seeds,packet
456,14-892,"Peanut butter, smooth",GA,Nuts and seeds,jar
457,14-882,Peanuts and raisins,GA,Nuts and seeds,packet
458,14-840,"Pistachio nuts, kernel only, roasted and salted",GA,Nuts and seeds,packet
475,14-843,"Quinoa, raw",GA,Nuts and seeds,packet
509,14-845,Sunflower seeds,GA,Nuts and seeds,packet
567,14-879,"Walnuts, kernel only",GA,Nuts and seeds,packet
